"date,channel,currency,row_spend,impressions,clicks,conversions,revenue,clean_data,adspend_usd"
"2025/01/01,linkedin ads,EUR,1173,675,16,3,132,2025-01-01,1275.0"
"01/02/2025,linkedin ads,EUR,2288,210,10,4,236,2025-01-02,2486.9565217391305"
"2025/01/01,linkedin ads,INR,1780,983,29,3,177,2025-01-01,21.44578313253012"
"01/02/2025,facebook ads,EUR,1727,443,21,0,0,2025-01-02,1877.1739130434783"
"01/02/2025,Google ads,USD,1664,384,13,2,116,2025-01-02,"
"05-jan-2025,linkedin ads,USD,562,400,17,0,0,2025-01-05,"
"05-jan-2025,Google ads,EUR,1888,563,29,1,59,2025-01-05,2052.173913043478"
"2025.01.03,facebook ads,USD,2078,599,20,4,236,2025-01-03,"
"2025.01.03,linkedin ads,EUR,1909,314,15,1,58,2025-01-03,2075.0"
"2025/01/04,facebook ads,EUR,1702,607,21,2,86,2025-01-04,1850.0"
"05-jan-2025,linkedin ads,EUR,2753,626,25,2,90,2025-01-05,2992.391304347826"
"05-jan-2025,Google ads,EUR,2319,203,16,3,129,2025-01-05,2520.6521739130435"
"2025/01/04,linkedin ads,EUR,246,950,13,1,54,2025-01-04,267.39130434782606"
"05-jan-2025,Google ads,INR,1318,635,27,3,141,2025-01-05,15.879518072289157"
"2025.01.03,Google ads,INR,2465,105,21,1,53,2025-01-03,29.698795180722893"
"01/02/2025,facebook ads,USD,453,483,24,1,40,2025-01-02,"
"2025/01/04,Google ads,EUR,240,470,25,4,212,2025-01-04,260.8695652173913"
"05-jan-2025,instagram,EUR,279,749,16,4,176,2025-01-05,303.2608695652174"
"05-jan-2025,Google ads,EUR,758,919,28,4,224,2025-01-05,823.9130434782609"
"01/02/2025,facebook ads,INR,2735,196,20,2,104,2025-01-02,32.95180722891566"
"2025.01.03,facebook ads,EUR,792,805,27,1,42,2025-01-03,860.8695652173913"
"05-jan-2025,Google ads,INR,1601,448,16,2,112,2025-01-05,19.289156626506024"
"2025/01/01,Google ads,USD,408,210,11,3,156,2025-01-01,"
"2025/01/01,linkedin ads,EUR,275,522,26,4,204,2025-01-01,298.9130434782609"
"2025/01/04,Google ads,INR,2349,991,27,2,84,2025-01-04,28.301204819277107"
"05-jan-2025,facebook ads,INR,1339,646,11,1,58,2025-01-05,16.132530120481928"
"2025/01/04,Google ads,EUR,2469,185,25,3,144,2025-01-04,2683.695652173913"
"05-jan-2025,facebook ads,EUR,1983,857,17,1,57,2025-01-05,2155.4347826086955"
"2025/01/04,facebook ads,USD,2154,694,29,3,156,2025-01-04,"
"2025/01/04,linkedin ads,INR,702,941,15,3,162,2025-01-04,8.457831325301205"
"2025/01/04,Google ads,USD,1946,389,21,1,54,2025-01-04,"
"05-jan-2025,instagram,EUR,2789,125,27,2,92,2025-01-05,3031.5217391304345"
"2025/01/01,linkedin ads,USD,2838,838,22,4,216,2025-01-01,"
"01/02/2025,Google ads,USD,1474,509,16,0,0,2025-01-02,"
"2025/01/01,linkedin ads,EUR,876,450,24,0,0,2025-01-01,952.1739130434783"
"2025/01/01,linkedin ads,EUR,2438,621,17,2,104,2025-01-01,2650.0"
"2025/01/01,instagram,USD,719,808,25,4,228,2025-01-01,"
"01/02/2025,instagram,INR,353,661,24,2,96,2025-01-02,4.253012048192771"
"2025/01/01,instagram,EUR,2626,311,10,2,110,2025-01-01,2854.3478260869565"
"2025.01.03,instagram,EUR,2228,322,28,1,42,2025-01-03,2421.7391304347825"
"2025/01/04,Google ads,INR,2652,311,24,3,177,2025-01-04,31.951807228915662"
"01/02/2025,Google ads,USD,2299,477,10,4,200,2025-01-02,"
"2025/01/04,facebook ads,USD,626,233,19,0,0,2025-01-04,"
"2025/01/04,instagram,INR,753,678,21,2,96,2025-01-04,9.072289156626505"
"01/02/2025,Google ads,USD,2097,592,15,4,196,2025-01-02,"
"2025/01/01,instagram,USD,901,922,29,3,129,2025-01-01,"
"05-jan-2025,Google ads,EUR,1851,781,25,0,0,2025-01-05,2011.9565217391303"
"2025/01/04,Google ads,INR,1312,678,20,2,88,2025-01-04,15.80722891566265"
"01/02/2025,instagram,USD,2560,514,20,5,270,2025-01-02,"
"2025/01/01,instagram,EUR,497,469,12,1,53,2025-01-01,540.2173913043478"
"2025/01/01,facebook ads,INR,356,928,11,1,57,2025-01-01,4.289156626506024"
"2025/01/01,linkedin ads,EUR,585,442,21,3,138,2025-01-01,635.8695652173913"
"2025.01.03,instagram,USD,517,355,19,2,86,2025-01-03,"
"2025/01/01,Google ads,USD,2563,992,25,3,147,2025-01-01,"
"2025.01.03,facebook ads,INR,601,861,13,4,176,2025-01-03,7.240963855421687"
"2025/01/01,facebook ads,USD,564,716,29,4,208,2025-01-01,"
"2025.01.03,Google ads,INR,2580,201,17,4,172,2025-01-03,31.08433734939759"
"2025.01.03,Google ads,EUR,461,526,17,2,84,2025-01-03,501.0869565217391"
"05-jan-2025,facebook ads,INR,331,370,24,4,196,2025-01-05,3.9879518072289155"
"05-jan-2025,facebook ads,INR,1065,566,23,0,0,2025-01-05,12.831325301204819"
"05-jan-2025,linkedin ads,INR,543,625,18,0,0,2025-01-05,6.542168674698795"
"2025.01.03,Google ads,EUR,924,951,26,2,104,2025-01-03,1004.3478260869565"
"2025/01/01,facebook ads,USD,2221,186,20,3,156,2025-01-01,"
"05-jan-2025,facebook ads,USD,2690,364,28,3,165,2025-01-05,"
"2025/01/01,instagram,EUR,1304,906,17,3,135,2025-01-01,1417.391304347826"
"2025/01/04,facebook ads,USD,862,908,19,0,0,2025-01-04,"
"2025.01.03,facebook ads,USD,2654,273,16,0,0,2025-01-03,"
"2025.01.03,Google ads,USD,902,306,28,0,0,2025-01-03,"
"01/02/2025,facebook ads,USD,462,166,28,4,188,2025-01-02,"
"05-jan-2025,instagram,USD,2570,983,11,2,82,2025-01-05,"
"05-jan-2025,Google ads,EUR,1658,491,20,3,150,2025-01-05,1802.1739130434783"
"2025/01/04,linkedin ads,INR,1827,576,13,2,108,2025-01-04,22.012048192771083"
"2025/01/01,Google ads,USD,673,758,23,4,188,2025-01-01,"
"01/02/2025,facebook ads,USD,1080,375,29,4,224,2025-01-02,"
"01/02/2025,instagram,USD,1308,173,12,1,56,2025-01-02,"
"2025/01/01,instagram,INR,677,656,19,4,180,2025-01-01,8.156626506024097"
"05-jan-2025,Google ads,USD,1649,350,11,4,212,2025-01-05,"
"01/02/2025,facebook ads,EUR,1986,738,14,4,188,2025-01-02,2158.695652173913"
"2025.01.03,linkedin ads,INR,813,448,17,2,102,2025-01-03,9.795180722891565"
"2025/01/04,facebook ads,USD,1730,509,21,0,0,2025-01-04,"
"01/02/2025,facebook ads,EUR,889,681,27,4,184,2025-01-02,966.3043478260869"
"05-jan-2025,facebook ads,EUR,793,622,24,1,42,2025-01-05,861.9565217391304"
"05-jan-2025,instagram,INR,1568,194,16,1,50,2025-01-05,18.89156626506024"
"01/02/2025,Google ads,USD,846,682,15,3,123,2025-01-02,"
"2025/01/01,linkedin ads,USD,1649,441,24,0,0,2025-01-01,"
"05-jan-2025,facebook ads,EUR,628,587,29,0,0,2025-01-05,682.6086956521739"
"2025/01/01,facebook ads,USD,2140,497,22,3,177,2025-01-01,"
"2025/01/04,linkedin ads,USD,1652,389,11,3,165,2025-01-04,"
"2025/01/01,linkedin ads,INR,635,523,13,0,0,2025-01-01,7.650602409638554"
"01/02/2025,Google ads,USD,535,803,23,3,165,2025-01-02,"
"01/02/2025,instagram,INR,820,143,14,4,196,2025-01-02,9.879518072289157"
"05-jan-2025,facebook ads,USD,370,983,13,0,0,2025-01-05,"
"2025/01/01,instagram,INR,2057,946,20,2,108,2025-01-01,24.783132530120483"
"2025/01/04,instagram,EUR,2262,802,27,4,160,2025-01-04,2458.695652173913"
"05-jan-2025,Google ads,INR,496,304,16,3,159,2025-01-05,5.975903614457831"
"2025.01.03,Google ads,INR,1638,280,29,1,41,2025-01-03,19.734939759036145"
"05-jan-2025,instagram,USD,721,164,24,3,150,2025-01-05,"
"2025.01.03,instagram,INR,2974,266,21,2,102,2025-01-03,35.83132530120482"
"01/02/2025,Google ads,USD,998,591,13,0,0,2025-01-02,"
"2025/01/04,facebook ads,USD,1446,458,11,4,216,2025-01-04,"
"2025.01.03,linkedin ads,EUR,805,431,29,1,56,2025-01-03,875.0"
"2025.01.03,Google ads,INR,2910,908,25,0,0,2025-01-03,35.06024096385542"
"2025.01.03,instagram,INR,215,963,26,3,123,2025-01-03,2.5903614457831323"
"05-jan-2025,facebook ads,EUR,1074,766,12,3,162,2025-01-05,1167.391304347826"
"2025/01/01,facebook ads,USD,2324,858,20,3,132,2025-01-01,"
"01/02/2025,facebook ads,INR,472,448,24,1,55,2025-01-02,5.686746987951807"
"05-jan-2025,instagram,USD,1543,787,11,2,82,2025-01-05,"
"2025/01/01,linkedin ads,EUR,1482,340,19,2,110,2025-01-01,1610.8695652173913"
"01/02/2025,linkedin ads,USD,471,471,27,0,0,2025-01-02,"
"01/02/2025,Google ads,USD,2722,667,24,1,58,2025-01-02,"
"05-jan-2025,Google ads,INR,683,240,20,0,0,2025-01-05,8.228915662650602"
"2025.01.03,facebook ads,EUR,1424,696,17,4,176,2025-01-03,1547.8260869565217"
"2025/01/01,instagram,INR,2005,495,20,3,126,2025-01-01,24.156626506024097"
"2025.01.03,Google ads,EUR,1191,989,21,2,92,2025-01-03,1294.5652173913043"
"05-jan-2025,instagram,EUR,1675,838,20,1,44,2025-01-05,1820.6521739130435"
"2025/01/01,linkedin ads,INR,2644,958,28,3,165,2025-01-01,31.85542168674699"
"2025.01.03,linkedin ads,INR,2144,641,16,3,150,2025-01-03,25.83132530120482"
"2025/01/01,instagram,USD,1010,809,25,2,112,2025-01-01,"
"2025/01/04,Google ads,INR,1518,910,28,1,42,2025-01-04,18.289156626506024"
"01/02/2025,instagram,USD,1389,883,22,3,171,2025-01-02,"
"2025/01/01,instagram,EUR,1779,305,22,1,47,2025-01-01,1933.695652173913"
"05-jan-2025,instagram,EUR,2272,424,21,2,110,2025-01-05,2469.565217391304"
"2025.01.03,linkedin ads,EUR,343,153,24,1,56,2025-01-03,372.82608695652175"
"01/02/2025,facebook ads,INR,2673,492,22,1,41,2025-01-02,32.204819277108435"
"2025.01.03,linkedin ads,INR,923,995,10,1,49,2025-01-03,11.120481927710843"
"2025/01/04,linkedin ads,USD,1078,709,26,3,132,2025-01-04,"
"2025/01/04,Google ads,USD,2766,841,19,3,174,2025-01-04,"
"2025/01/01,linkedin ads,INR,1344,675,19,4,204,2025-01-01,16.19277108433735"
"05-jan-2025,linkedin ads,USD,1979,484,20,3,147,2025-01-05,"
"2025.01.03,Google ads,INR,2239,499,10,0,0,2025-01-03,26.97590361445783"
"2025.01.03,facebook ads,EUR,805,805,15,0,0,2025-01-03,875.0"
"01/02/2025,Google ads,EUR,2271,764,25,1,49,2025-01-02,2468.478260869565"
"01/02/2025,facebook ads,EUR,1387,508,24,4,224,2025-01-02,1507.6086956521738"
"05-jan-2025,linkedin ads,USD,2823,558,18,2,80,2025-01-05,"
"2025/01/01,linkedin ads,USD,1551,778,27,1,45,2025-01-01,"
"05-jan-2025,facebook ads,EUR,1055,239,23,2,112,2025-01-05,1146.7391304347825"
"2025/01/04,linkedin ads,EUR,672,269,10,0,0,2025-01-04,730.4347826086956"
"2025/01/01,instagram,INR,231,691,13,2,114,2025-01-01,2.783132530120482"
"2025.01.03,instagram,USD,293,647,14,2,88,2025-01-03,"
"2025/01/01,linkedin ads,USD,916,133,13,1,50,2025-01-01,"
"01/02/2025,facebook ads,EUR,1354,475,19,4,208,2025-01-02,1471.7391304347825"
"05-jan-2025,instagram,EUR,891,929,13,1,53,2025-01-05,968.4782608695651"
